,id,date,zipcode,season,price,Median Price,condition,status,profit
487,1895000260,2014-07-21,98118,summer,207950.0,365500.0,3,Buy,157550.0
488,8691370400,2014-12-16,98075,winter,699900.0,741000.0,3,Buy,41100.0
494,1727500340,2014-06-14,98034,summer,397500.0,440000.0,3,Buy,42500.0
495,9828702519,2014-05-12,98112,spring,490000.0,760500.0,3,Buy,270500.0
499,7852030960,2014-11-06,98065,fall,437500.0,506950.0,3,Buy,69450.0
501,7518503335,2014-05-19,98117,spring,475000.0,541000.0,3,Buy,66000.0
505,5379805885,2014-05-21,98188,spring,240000.0,260250.0,3,Buy,20250.0
513,2827100070,2014-11-05,98133,fall,290000.0,375000.0,3,Buy,85000.0
521,1180003090,2014-09-06,98178,fall,190000.0,275000.0,3,Buy,85000.0
524,7453000070,2014-08-18,98126,summer,275000.0,399000.0,3,Buy,124000.0
528,6381500700,2014-11-05,98125,fall,365000.0,422000.0,3,Buy,57000.0
530,1545807610,2015-04-29,98038,spring,270500.0,326992.0,3,Buy,56492.0
531,1843200240,2015-05-05,98092,spring,200000.0,297300.0,3,Buy,97300.0
536,6204420070,2015-05-01,98011,spring,452000.0,470000.0,3,Buy,18000.0
538,5466410030,2015-04-10,98042,spring,249000.0,280000.0,3,Buy,31000.0
541,2270000070,2014-10-30,98056,fall,280000.0,375000.0,3,Buy,95000.0
547,7899800860,2015-03-19,98106,spring,259950.0,315000.0,3,Buy,55050.0
557,236400320,2014-07-15,98188,summer,238000.0,260250.0,3,Buy,22250.0
564,5307100060,2014-12-16,98005,winter,638700.0,710000.0,3,Buy,71300.0
565,7203102050,2014-07-28,98053,summer,435000.0,558500.0,3,Buy,123500.0
568,809002765,2014-10-22,98109,fall,610000.0,708750.0,3,Buy,98750.0
571,98020350,2015-01-23,98075,winter,720000.0,741000.0,3,Buy,21000.0
574,2473360060,2015-01-02,98058,winter,263500.0,329000.0,3,Buy,65500.0
583,3876300310,2014-10-22,98034,fall,439000.0,440000.0,3,Buy,1000.0
585,192460060,2014-07-15,98045,summer,330000.0,345000.0,3,Buy,15000.0
592,2781280390,2015-03-24,98055,spring,290000.0,294000.0,3,Buy,4000.0
593,9542830350,2014-09-02,98038,fall,296000.0,326992.0,3,Buy,30992.0
596,3278600240,2014-07-22,98126,summer,372500.0,399000.0,3,Buy,26500.0
600,8682250350,2014-10-09,98053,fall,507000.0,558500.0,3,Buy,51500.0
602,4233400340,2014-08-20,98010,summer,185000.0,263500.0,3,Buy,78500.0
603,7199350340,2014-08-25,98052,summer,460000.0,600000.0,3,Buy,140000.0
604,3904901710,2015-02-24,98029,winter,435500.0,564800.0,3,Buy,129300.0
606,6865200444,2014-05-05,98103,spring,531000.0,549500.0,3,Buy,18500.0
607,9498200046,2015-02-06,98177,winter,443500.0,506000.0,3,Buy,62500.0
608,1796380960,2014-11-26,98042,fall,223000.0,280000.0,3,Buy,57000.0
610,3126049411,2014-12-09,98103,winter,340000.0,549500.0,3,Buy,209500.0
616,6600700030,2015-05-06,98052,spring,525000.0,600000.0,3,Buy,75000.0
617,3904930240,2014-09-22,98029,fall,485000.0,564800.0,3,Buy,79800.0
618,9407110700,2015-01-13,98045,winter,175000.0,345000.0,3,Buy,170000.0
619,1682500160,2014-06-19,98092,summer,210000.0,297300.0,3,Buy,87300.0
620,8078570390,2015-04-15,98031,spring,260000.0,282000.0,3,Buy,22000.0
628,7010700292,2014-10-09,98199,fall,543500.0,651000.0,3,Buy,107500.0
634,9550204515,2014-09-24,98105,fall,542000.0,625252.0,3,Buy,83252.0
635,7199330390,2014-06-24,98052,summer,415000.0,600000.0,3,Buy,185000.0
640,4315700060,2015-03-03,98136,spring,378000.0,485000.0,3,Buy,107000.0
644,7852180340,2014-09-30,98065,fall,430000.0,506950.0,3,Buy,76950.0
645,1545804340,2015-04-09,98038,spring,240000.0,326992.0,3,Buy,86992.0
647,2218000335,2014-07-07,98105,summer,530000.0,625252.0,3,Buy,95252.0
650,4338800370,2014-11-17,98166,fall,220000.0,363405.0,3,Buy,143405.0
652,3226200105,2014-05-23,98118,spring,325000.0,365500.0,3,Buy,40500.0
654,7849202231,2014-07-23,98065,summer,337000.0,506950.0,3,Buy,169950.0
657,2985800030,2014-05-07,98105,spring,495000.0,625252.0,3,Buy,130252.0
661,9412200260,2014-11-13,98027,fall,496500.0,573475.0,3,Buy,76975.0
663,6798100662,2014-05-27,98125,spring,312000.0,422000.0,3,Buy,110000.0
664,1775920350,2014-11-24,98072,fall,323000.0,440000.0,3,Buy,117000.0
665,2525500260,2014-11-24,98059,fall,331000.0,423000.0,3,Buy,92000.0
666,6145600041,2014-05-14,98133,spring,306000.0,375000.0,3,Buy,69000.0
677,3348401740,2015-01-27,98178,winter,188000.0,275000.0,3,Buy,87000.0
678,3013300288,2014-09-30,98136,fall,478500.0,485000.0,3,Buy,6500.0
684,5102400105,2014-10-13,98115,fall,400000.0,560750.0,3,Buy,160750.0
688,1566100400,2014-09-24,98115,fall,387500.0,560750.0,3,Buy,173250.0
689,1775800800,2015-02-24,98072,winter,396000.0,440000.0,3,Buy,44000.0
693,8024200350,2015-03-04,98115,spring,410000.0,560750.0,3,Buy,150750.0
695,7697870860,2014-06-25,98030,summer,245000.0,280000.0,3,Buy,35000.0
701,1895000045,2015-05-04,98118,spring,195000.0,365500.0,3,Buy,170500.0
703,7011200260,2014-12-19,98119,winter,485000.0,685000.0,3,Buy,200000.0
704,41000454,2014-08-15,98188,summer,130000.0,260250.0,3,Buy,130250.0
714,2988000070,2015-03-04,98011,spring,405000.0,470000.0,3,Buy,65000.0
720,3793500550,2014-08-08,98038,summer,289950.0,326992.0,3,Buy,37042.0
727,1932300075,2014-09-10,98126,fall,245000.0,399000.0,3,Buy,154000.0
728,2525000510,2014-11-06,98059,fall,328000.0,423000.0,3,Buy,95000.0
731,2723089104,2014-09-17,98045,fall,315000.0,345000.0,3,Buy,30000.0
739,8159610060,2014-11-19,98001,fall,233000.0,256000.0,3,Buy,23000.0
741,1588600045,2014-12-15,98117,winter,459000.0,541000.0,3,Buy,82000.0
743,1771000890,2014-09-17,98077,fall,305000.0,567500.0,3,Buy,262500.0
744,3300701170,2014-06-20,98117,summer,395000.0,541000.0,3,Buy,146000.0
749,1138020200,2014-09-03,98034,fall,435000.0,440000.0,3,Buy,5000.0
750,3432500200,2015-04-09,98155,spring,329999.0,367500.0,3,Buy,37501.0
761,6379500159,2014-09-11,98116,fall,400000.0,558000.0,3,Buy,158000.0
772,226039214,2014-06-12,98177,summer,465250.0,506000.0,3,Buy,40750.0
773,1623300160,2014-05-06,98117,spring,450000.0,541000.0,3,Buy,91000.0
777,3814400125,2014-10-16,98122,fall,493000.0,557500.0,3,Buy,64500.0
782,1139000069,2014-11-18,98133,fall,320000.0,375000.0,3,Buy,55000.0
786,2688100071,2015-04-15,98117,spring,500000.0,541000.0,3,Buy,41000.0
798,7852020640,2014-10-20,98065,fall,470000.0,506950.0,3,Buy,36950.0
802,7940700260,2015-01-15,98034,winter,422120.0,440000.0,3,Buy,17880.0
804,4365200860,2014-06-06,98126,summer,385200.0,399000.0,3,Buy,13800.0
805,3904980030,2015-04-14,98029,spring,500000.0,564800.0,3,Buy,64800.0
811,7234600903,2014-10-16,98122,fall,419000.0,557500.0,3,Buy,138500.0
812,4307350200,2015-05-12,98056,spring,347000.0,375000.0,3,Buy,28000.0
816,4057300200,2014-12-22,98029,winter,310000.0,564800.0,3,Buy,254800.0
819,1565900070,2014-07-21,98022,summer,246500.0,251500.0,3,Buy,5000.0
825,4006000251,2014-08-22,98118,summer,226000.0,365500.0,3,Buy,139500.0
827,1610000016,2014-09-11,98168,fall,175000.0,235000.0,3,Buy,60000.0
828,7376300060,2014-05-15,98008,spring,465750.0,535900.0,3,Buy,70150.0
836,8682262400,2014-07-18,98053,summer,430000.0,558500.0,3,Buy,128500.0
837,8682262400,2015-05-13,98053,spring,419950.0,558500.0,3,Buy,138550.0
841,6450303785,2014-11-18,98133,fall,320000.0,375000.0,3,Buy,55000.0
844,108000127,2014-12-09,98177,winter,456500.0,506000.0,3,Buy,49500.0
848,7197350070,2015-03-04,98052,spring,512000.0,600000.0,3,Buy,88000.0
850,3905081070,2014-05-21,98029,spring,535800.0,564800.0,3,Buy,29000.0
852,5637500070,2014-07-31,98136,summer,438000.0,485000.0,3,Buy,47000.0
855,3056800160,2014-08-12,98059,summer,370500.0,423000.0,3,Buy,52500.0
856,3654800200,2014-10-22,98038,fall,265000.0,326992.0,3,Buy,61992.0
862,6403310060,2014-08-11,98033,summer,539900.0,630000.0,3,Buy,90100.0
864,4137050060,2014-11-04,98092,fall,280000.0,297300.0,3,Buy,17300.0
867,8665050060,2014-07-31,98029,summer,457500.0,564800.0,3,Buy,107300.0
871,4039300400,2014-09-19,98007,fall,469950.0,544250.0,3,Buy,74300.0
876,8802400416,2015-02-13,98031,winter,147500.0,282000.0,3,Buy,134500.0
877,6204400270,2014-11-25,98011,fall,390000.0,470000.0,3,Buy,80000.0
878,9536602080,2014-12-19,98198,winter,229000.0,262950.0,3,Buy,33950.0
879,3826000070,2014-05-15,98168,spring,185000.0,235000.0,3,Buy,50000.0
880,5101405335,2014-08-26,98115,summer,414900.0,560750.0,3,Buy,145850.0
882,7749500370,2014-10-21,98092,fall,225000.0,297300.0,3,Buy,72300.0
887,510002519,2014-07-15,98103,summer,466000.0,549500.0,3,Buy,83500.0
888,1387300070,2014-08-25,98011,summer,374000.0,470000.0,3,Buy,96000.0
894,880000189,2014-08-11,98106,summer,209000.0,315000.0,3,Buy,106000.0
895,643500030,2014-11-14,98007,fall,431650.0,544250.0,3,Buy,112600.0
906,9406520830,2015-03-26,98038,spring,314950.0,326992.0,3,Buy,12042.0
912,3329530200,2014-09-10,98001,fall,205000.0,256000.0,3,Buy,51000.0
918,4302200695,2014-08-28,98106,summer,270000.0,315000.0,3,Buy,45000.0
920,7524000030,2014-06-30,98198,summer,250000.0,262950.0,3,Buy,12950.0
928,8730000270,2015-05-14,98133,spring,359000.0,375000.0,3,Buy,16000.0
930,3395070640,2014-09-02,98118,fall,300000.0,365500.0,3,Buy,65500.0
938,5466420030,2014-10-07,98042,fall,253000.0,280000.0,3,Buy,27000.0
946,4167300030,2015-02-09,98023,winter,260000.0,265500.0,3,Buy,5500.0
952,6203000160,2014-07-16,98033,summer,460500.0,630000.0,3,Buy,169500.0
961,7715800570,2015-04-13,98074,spring,385000.0,625000.0,3,Buy,240000.0
962,6852700478,2014-09-16,98102,fall,425000.0,670000.0,3,Buy,245000.0
966,5462100240,2014-06-25,98001,summer,196500.0,256000.0,3,Buy,59500.0
967,8651520510,2014-05-15,98074,spring,582800.0,625000.0,3,Buy,42200.0
973,3629790160,2014-07-24,98029,summer,524250.0,564800.0,3,Buy,40550.0
982,7853340860,2015-03-10,98065,spring,420000.0,506950.0,3,Buy,86950.0
983,1862400132,2014-09-16,98117,fall,379000.0,541000.0,3,Buy,162000.0
984,6380500135,2014-05-27,98177,spring,326100.0,506000.0,3,Buy,179900.0
985,9528104108,2014-05-29,98115,spring,535000.0,560750.0,3,Buy,25750.0
989,3904910320,2015-02-25,98029,winter,484950.0,564800.0,3,Buy,79850.0
993,5559600140,2015-05-05,98003,spring,253000.0,263750.0,3,Buy,10750.0
994,5147600105,2014-07-21,98146,summer,178500.0,295000.0,3,Buy,116500.0
997,3856902996,2014-08-04,98105,summer,553500.0,625252.0,3,Buy,71752.0
998,1442800370,2015-04-15,98038,spring,189950.0,326992.0,3,Buy,137042.0
1001,984000710,2014-10-22,98058,fall,270000.0,329000.0,3,Buy,59000.0
1002,4167300350,2014-05-08,98023,spring,258000.0,265500.0,3,Buy,7500.0
1004,8946750030,2014-12-18,98092,winter,245000.0,297300.0,3,Buy,52300.0
1014,342000570,2014-09-09,98122,fall,429000.0,557500.0,3,Buy,128500.0
1015,5476200160,2014-07-25,98178,summer,164808.0,275000.0,3,Buy,110192.0
1016,7199320570,2015-01-26,98052,winter,520000.0,600000.0,3,Buy,80000.0
1022,8562500200,2014-06-05,98052,summer,375000.0,600000.0,3,Buy,225000.0
1029,1370804430,2015-03-05,98199,spring,543115.0,651000.0,3,Buy,107885.0
1032,8682231170,2015-04-29,98053,spring,554000.0,558500.0,3,Buy,4500.0
1037,789000550,2015-04-13,98103,spring,415000.0,549500.0,3,Buy,134500.0
1039,7215722010,2015-02-26,98075,winter,566000.0,741000.0,3,Buy,175000.0
1042,2877101031,2014-07-02,98117,summer,512031.0,541000.0,3,Buy,28969.0
1043,2892600016,2015-03-17,98055,spring,197500.0,294000.0,3,Buy,96500.0
1044,2423020270,2014-07-15,98033,summer,470000.0,630000.0,3,Buy,160000.0
1048,2024059094,2014-08-25,98006,summer,515000.0,697450.0,3,Buy,182450.0
1050,2771101200,2014-05-17,98199,spring,410000.0,651000.0,3,Buy,241000.0
1053,2553300030,2014-06-09,98075,summer,648000.0,741000.0,3,Buy,93000.0
1063,5706200060,2014-08-18,98027,summer,399950.0,573475.0,3,Buy,173525.0
1064,7283900012,2014-10-21,98133,fall,275000.0,375000.0,3,Buy,100000.0
1065,809001070,2015-01-23,98109,winter,550000.0,708750.0,3,Buy,158750.0
1067,1607100139,2014-07-25,98108,summer,250000.0,345000.0,3,Buy,95000.0
1070,6072600200,2015-04-17,98006,spring,470500.0,697450.0,3,Buy,226950.0
1071,5144000036,2014-05-27,98125,spring,360000.0,422000.0,3,Buy,62000.0
1074,9209900270,2015-02-05,98112,winter,515000.0,760500.0,3,Buy,245500.0
1079,390100060,2015-04-21,98133,spring,325000.0,375000.0,3,Buy,50000.0
1080,7888400560,2014-10-02,98198,fall,208000.0,262950.0,3,Buy,54950.0
1087,3509600070,2014-07-25,98168,summer,225000.0,235000.0,3,Buy,10000.0
1091,7202330370,2015-02-10,98053,winter,448000.0,558500.0,3,Buy,110500.0
1095,7202290160,2015-01-14,98053,winter,435000.0,558500.0,3,Buy,123500.0
1098,9158100116,2015-04-06,98133,spring,285000.0,375000.0,3,Buy,90000.0
1102,3278604400,2014-06-02,98126,summer,285000.0,399000.0,3,Buy,114000.0
1107,2770604942,2014-12-30,98119,winter,609850.0,685000.0,3,Buy,75150.0
1108,7831800505,2015-01-06,98106,winter,200000.0,315000.0,3,Buy,115000.0
1110,4137010260,2014-08-25,98092,summer,285167.0,297300.0,3,Buy,12133.0
1121,2641800060,2015-04-27,98146,spring,239000.0,295000.0,3,Buy,56000.0
1124,5332200550,2015-03-25,98112,spring,505000.0,760500.0,3,Buy,255500.0
1126,9352900695,2014-09-22,98106,fall,170000.0,315000.0,3,Buy,145000.0
1130,4427100030,2015-01-14,98125,winter,332500.0,422000.0,3,Buy,89500.0
1132,2171400126,2014-06-05,98178,summer,269000.0,275000.0,3,Buy,6000.0
1136,6021502830,2014-11-10,98117,fall,400000.0,541000.0,3,Buy,141000.0
1138,2781270550,2014-09-16,98038,fall,219000.0,326992.0,3,Buy,107992.0
1141,3320000810,2015-02-24,98144,winter,380000.0,446800.0,3,Buy,66800.0
1143,2537500140,2014-06-27,98075,summer,687500.0,741000.0,3,Buy,53500.0
1146,3905100520,2014-10-29,98029,fall,510000.0,564800.0,3,Buy,54800.0
1150,3797000295,2015-03-12,98103,spring,492000.0,549500.0,3,Buy,57500.0
1156,3901100055,2014-12-22,98033,winter,350000.0,630000.0,3,Buy,280000.0
1159,6064800710,2014-10-02,98118,fall,315000.0,365500.0,3,Buy,50500.0
1173,7853210140,2015-03-09,98065,spring,359000.0,506950.0,3,Buy,147950.0
1174,3250500140,2014-10-08,98004,fall,850000.0,867500.0,3,Buy,17500.0
1175,2767601375,2014-08-21,98107,summer,505000.0,529475.0,3,Buy,24475.0
1188,6149700350,2014-10-16,98133,fall,343000.0,375000.0,3,Buy,32000.0
1191,236400260,2014-12-15,98188,winter,220000.0,260250.0,3,Buy,40250.0
1192,3826000560,2014-10-02,98168,fall,173000.0,235000.0,3,Buy,62000.0
1193,7011201245,2014-11-07,98119,fall,655000.0,685000.0,3,Buy,30000.0
1194,9222400510,2015-01-07,98115,winter,406000.0,560750.0,3,Buy,154750.0
1198,3996900160,2014-07-08,98155,summer,277000.0,367500.0,3,Buy,90500.0
1200,11900140,2014-05-09,98042,spring,254000.0,280000.0,3,Buy,26000.0
1201,6071600340,2014-11-13,98006,fall,472800.0,697450.0,3,Buy,224650.0
1202,1231000510,2014-09-22,98118,fall,263000.0,365500.0,3,Buy,102500.0
1205,4123400340,2014-12-03,98027,winter,525000.0,573475.0,3,Buy,48475.0
1206,5458300685,2014-05-20,98109,spring,479000.0,708750.0,3,Buy,229750.0
1212,2770606685,2014-08-13,98199,summer,470000.0,651000.0,3,Buy,181000.0
1213,8856971000,2015-04-06,98038,spring,245000.0,326992.0,3,Buy,81992.0
1215,2095800400,2014-11-13,98011,fall,455000.0,470000.0,3,Buy,15000.0
1216,7852030240,2015-04-08,98065,spring,485500.0,506950.0,3,Buy,21450.0
1218,3751600030,2014-07-17,98001,summer,100000.0,256000.0,3,Buy,156000.0
1219,4046500510,2014-09-05,98014,fall,307000.0,319000.0,3,Buy,12000.0
1221,7016310030,2015-02-19,98011,winter,330000.0,470000.0,3,Buy,140000.0
1225,2636900126,2015-03-12,98155,spring,365000.0,367500.0,3,Buy,2500.0
