,id,Region,season,Median Price,Buy Price,Sell Price,Profit
877,6204400270,98011,fall,432000.0,390000.0,507000.0,117000.0
878,9536602080,98198,winter,210000.0,229000.0,251900.00000000003,22900.00000000003
879,3826000070,98168,spring,177500.0,185000.0,203500.00000000003,18500.00000000003
880,5101405335,98115,summer,439000.0,414900.0,539370.0,124470.0
882,7749500370,98092,fall,259500.0,225000.0,292500.0,67500.0
887,510002519,98103,summer,457250.0,466000.0,512600.00000000006,46600.00000000006
888,1387300070,98011,summer,402500.0,374000.0,486200.0,112200.0
894,880000189,98106,summer,259250.0,209000.0,271700.0,62700.0
895,643500030,98007,fall,448325.0,431650.0,561145.0,129495.0
906,9406520830,98038,spring,293250.0,314950.0,346445.0,31495.0
912,3329530200,98001,fall,211775.0,205000.0,266500.0,61500.0
918,4302200695,98106,summer,259250.0,270000.0,297000.0,27000.0
920,7524000030,98198,summer,232500.0,250000.0,275000.0,25000.0
928,8730000270,98133,spring,306000.0,359000.0,394900.00000000006,35900.00000000006
930,3395070640,98118,fall,285000.0,300000.0,330000.0,30000.0
938,5466420030,98042,fall,240000.0,253000.0,278300.0,25300.0
946,4167300030,98023,winter,233387.5,260000.0,286000.0,26000.0
952,6203000160,98033,summer,495000.0,460500.0,598650.0,138150.0
961,7715800570,98074,spring,538888.0,385000.0,500500.0,115500.0
962,6852700478,98102,fall,580000.0,425000.0,552500.0,127500.0
966,5462100240,98001,summer,214100.0,196500.0,255450.0,58950.0
967,8651520510,98074,spring,538888.0,582800.0,641080.0,58280.0
973,3629790160,98029,summer,482499.0,524250.0,576675.0,52425.0
982,7853340860,98065,spring,450500.0,420000.0,546000.0,126000.0
983,1862400132,98117,fall,439000.0,379000.0,492700.0,113700.0
984,6380500135,98177,spring,413250.0,326100.0,423930.0,97830.0
985,9528104108,98115,spring,470000.0,535000.0,588500.0,53500.0
989,3904910320,98029,winter,475975.0,484950.0,533445.0,48495.0
993,5559600140,98003,spring,242000.0,253000.0,278300.0,25300.0
994,5147600105,98146,summer,210000.0,178500.0,232050.0,53550.0
997,3856902996,98105,summer,545000.0,553500.0,608850.0,55350.0
998,1442800370,98038,spring,293250.0,189950.0,246935.0,56985.0
1001,984000710,98058,fall,299500.0,270000.0,351000.0,81000.0
1002,4167300350,98023,spring,230500.0,258000.0,283800.0,25800.0
1004,8946750030,98092,winter,277000.0,245000.0,318500.0,73500.0
1014,342000570,98122,fall,432500.0,429000.0,557700.0,128700.0
1015,5476200160,98178,summer,219950.0,164808.0,214250.4,49442.399999999994
1016,7199320570,98052,winter,495000.0,520000.0,572000.0,52000.0
1022,8562500200,98052,summer,498000.0,375000.0,487500.0,112500.0
1029,1370804430,98199,spring,503500.0,543115.0,597426.5,54311.5
1032,8682231170,98053,spring,457000.0,554000.0,609400.0,55400.0
1037,789000550,98103,spring,411725.0,415000.0,456500.00000000006,41500.00000000006
1039,7215722010,98075,winter,682000.0,566000.0,735800.0,169800.0
1042,2877101031,98117,summer,440300.0,512031.0,563234.1000000001,51203.10000000009
1043,2892600016,98055,spring,234650.0,197500.0,256750.0,59250.0
1044,2423020270,98033,summer,495000.0,470000.0,611000.0,141000.0
1048,2024059094,98006,summer,546500.0,515000.0,669500.0,154500.0
1050,2771101200,98199,spring,503500.0,410000.0,533000.0,123000.0
1053,2553300030,98075,summer,668000.0,648000.0,842400.0,194400.0
1063,5706200060,98027,summer,455000.0,399950.0,519935.0,119985.0
1064,7283900012,98133,fall,313750.0,275000.0,357500.0,82500.0
1065,809001070,98109,winter,560000.0,550000.0,715000.0,165000.0
1067,1607100139,98108,summer,252500.0,250000.0,325000.0,75000.0
1070,6072600200,98006,spring,587500.0,470500.0,611650.0,141150.0
1071,5144000036,98125,spring,344000.0,360000.0,396000.00000000006,36000.00000000006
1074,9209900270,98112,winter,570000.0,515000.0,669500.0,154500.0
1079,390100060,98133,spring,306000.0,325000.0,357500.0,32500.0
1080,7888400560,98198,fall,213750.0,208000.0,270400.0,62400.0
1087,3509600070,98168,summer,197475.0,225000.0,247500.00000000003,22500.00000000003
1091,7202330370,98053,winter,439950.0,448000.0,492800.00000000006,44800.00000000006
1095,7202290160,98053,winter,439950.0,435000.0,565500.0,130500.0
1098,9158100116,98133,spring,306000.0,285000.0,370500.0,85500.0
1102,3278604400,98126,summer,326000.0,285000.0,370500.0,85500.0
1107,2770604942,98119,winter,585000.0,609850.0,670835.0,60985.0
1108,7831800505,98106,winter,238000.0,200000.0,260000.0,60000.0
1110,4137010260,98092,summer,271000.0,285167.0,313683.7,28516.70000000001
1121,2641800060,98146,spring,236950.0,239000.0,262900.0,23900.0
1124,5332200550,98112,spring,628875.0,505000.0,656500.0,151500.0
1126,9352900695,98106,fall,255400.0,170000.0,221000.0,51000.0
1130,4427100030,98125,winter,326750.0,332500.0,365750.00000000006,33250.00000000006
1132,2171400126,98178,summer,219950.0,269000.0,295900.0,26900.0
1136,6021502830,98117,fall,439000.0,400000.0,520000.0,120000.0
1138,2781270550,98038,fall,282000.0,219000.0,284700.0,65700.0
1141,3320000810,98144,winter,365000.0,380000.0,418000.00000000006,38000.00000000006
1143,2537500140,98075,summer,668000.0,687500.0,756250.0000000001,68750.00000000012
1146,3905100520,98029,fall,448250.0,510000.0,561000.0,51000.0
1150,3797000295,98103,spring,411725.0,492000.0,541200.0,49200.0
1156,3901100055,98033,winter,514500.0,350000.0,455000.0,105000.0
1159,6064800710,98118,fall,285000.0,315000.0,346500.0,31500.0
1173,7853210140,98065,spring,450500.0,359000.0,466700.0,107700.0
1174,3250500140,98004,fall,816000.0,850000.0,935000.0000000001,85000.00000000012
1175,2767601375,98107,summer,489500.0,505000.0,555500.0,50500.0
1188,6149700350,98133,fall,313750.0,343000.0,377300.00000000006,34300.00000000006
1191,236400260,98188,winter,220000.0,220000.0,242000.00000000003,22000.00000000003
1192,3826000560,98168,fall,205000.0,173000.0,224900.0,51900.0
1193,7011201245,98119,fall,582500.0,655000.0,720500.0,65500.0
1194,9222400510,98115,winter,441500.0,406000.0,527800.0,121800.0
1198,3996900160,98155,summer,300000.0,277000.0,360100.0,83100.0
1200,11900140,98042,spring,246750.0,254000.0,279400.0,25400.0
1201,6071600340,98006,fall,472800.0,472800.0,520080.00000000006,47280.00000000006
1202,1231000510,98118,fall,285000.0,263000.0,341900.0,78900.0
1205,4123400340,98027,winter,405000.0,525000.0,577500.0,52500.0
1206,5458300685,98109,spring,626700.0,479000.0,622700.0,143700.0
1212,2770606685,98199,summer,484500.0,470000.0,611000.0,141000.0
1213,8856971000,98038,spring,293250.0,245000.0,318500.0,73500.0
1215,2095800400,98011,fall,432000.0,455000.0,500500.00000000006,45500.00000000006
1216,7852030240,98065,spring,450500.0,485500.0,534050.0,48550.0
1218,3751600030,98001,summer,214100.0,100000.0,130000.0,30000.0
1219,4046500510,98014,fall,200000.0,307000.0,337700.0,30700.0
1221,7016310030,98011,winter,403000.0,330000.0,429000.0,99000.0
1225,2636900126,98155,spring,299975.0,365000.0,401500.00000000006,36500.00000000006
1227,1761300310,98031,summer,249900.0,211000.0,274300.0,63300.0
1230,8663370060,98034,fall,372500.0,349000.0,453700.0,104700.0
1236,5420300240,98030,winter,241500.0,270000.0,297000.0,27000.0
1248,8682281170,98053,fall,449500.0,449000.0,583700.0,134700.0
1256,993001629,98103,fall,415475.0,265000.0,344500.0,79500.0
1259,2798600240,98092,fall,259500.0,295700.0,325270.0,29570.0
1265,7202340370,98053,fall,449500.0,467000.0,513700.00000000006,46700.00000000006
1267,4310701600,98103,fall,415475.0,340000.0,442000.0,102000.0
1274,7276100282,98133,summer,332750.0,320000.0,416000.0,96000.0
1275,567000392,98144,fall,364000.0,363000.0,471900.0,108900.0
1279,7852180560,98065,spring,450500.0,403000.0,523900.0,120900.0
1283,6204410200,98011,summer,402500.0,371025.0,482332.5,111307.5
1284,7625702400,98136,summer,386750.0,355000.0,461500.0,106500.0
1288,1402600570,98058,winter,276500.0,320000.0,352000.0,32000.0
1291,3365900465,98168,winter,171800.0,170000.0,221000.0,51000.0
1297,2492200435,98126,summer,326000.0,389250.0,428175.00000000006,38925.00000000006
1303,3380900125,98177,spring,413250.0,360000.0,468000.0,108000.0
1305,8682230550,98053,fall,449500.0,428000.0,556400.0,128400.0
1309,2878600200,98115,spring,470000.0,533000.0,586300.0,53300.0
1311,766000240,98042,fall,240000.0,225000.0,292500.0,67500.0
1318,1683600240,98092,spring,264000.0,234975.0,305467.5,70492.5
1319,1962200036,98102,summer,527500.0,600000.0,660000.0,60000.0
1322,7772400160,98155,fall,275226.5,279950.0,307945.0,27995.0
1327,5101405274,98115,spring,470000.0,389000.0,505700.0,116700.0
1330,7436500270,98033,summer,495000.0,567000.0,623700.0,56700.0
1335,8961990160,98074,spring,538888.0,567500.0,624250.0,56750.0
1345,9301300751,98109,summer,548000.0,464950.0,604435.0,139485.0
1346,9542100135,98005,fall,618475.0,620000.0,682000.0,62000.0
1347,8691410700,98075,winter,682000.0,735000.0,808500.0000000001,73500.00000000012
1354,2695600070,98126,summer,326000.0,345000.0,379500.00000000006,34500.00000000006
1358,5589300370,98155,spring,299975.0,282000.0,366600.0,84600.0
1364,7222000393,98055,summer,250000.0,290000.0,319000.0,29000.0
1369,3374300070,98034,summer,380500.0,334000.0,434200.0,100200.0
1370,7812800310,98178,summer,219950.0,260000.0,286000.0,26000.0
1385,3342700465,98056,winter,301500.0,250000.0,325000.0,75000.0
1391,2710600070,98115,winter,441500.0,439000.0,570700.0,131700.0
1393,5100401414,98115,spring,470000.0,490000.0,539000.0,49000.0
1399,8682291840,98053,spring,457000.0,408000.0,530400.0,122400.0
1401,5636000400,98010,spring,243975.0,253000.0,278300.0,25300.0
1405,5255690160,98011,fall,432000.0,439000.0,482900.00000000006,43900.00000000006
1406,869700320,98059,summer,335000.0,300000.0,390000.0,90000.0
1408,5089700260,98055,summer,250000.0,283500.0,311850.0,28350.0
1409,9473200105,98103,fall,415475.0,425000.0,467500.00000000006,42500.00000000006
1412,2171400218,98178,spring,229250.0,245000.0,269500.0,24500.0
1416,6664900260,98023,winter,233387.5,241000.0,265100.0,24100.0
1419,4292300024,98133,spring,306000.0,350000.0,385000.00000000006,35000.00000000006
1421,9238450160,98072,spring,368000.0,389000.0,427900.00000000006,38900.00000000006
1427,7852030320,98065,winter,425000.0,470000.0,517000.00000000006,47000.00000000006
1441,8830400135,98030,spring,251325.0,264950.0,291445.0,26495.0
1446,339350070,98052,spring,513000.0,566000.0,622600.0,56600.0
1449,8651430560,98042,spring,246750.0,180000.0,234000.0,54000.0
1454,7504460200,98074,summer,507000.0,500000.0,650000.0,150000.0
1455,1559900200,98019,spring,350000.0,382000.0,420200.00000000006,38200.00000000006
1456,546000400,98117,spring,460000.0,515000.0,566500.0,51500.0
1460,5457300703,98109,spring,626700.0,707500.0,778250.0000000001,70750.00000000012
1462,1951500030,98032,winter,206000.0,140000.0,182000.0,42000.0
1463,9550200310,98103,summer,457250.0,495000.0,544500.0,49500.0
1467,7935000125,98136,summer,386750.0,440000.0,484000.00000000006,44000.00000000006
1470,2523039239,98166,spring,247500.0,260000.0,286000.0,26000.0
1472,2724069070,98027,winter,405000.0,519500.0,571450.0,51950.0
1476,7941140070,98034,spring,399950.0,400000.0,440000.00000000006,40000.00000000006
1481,7202290140,98053,summer,437000.0,455800.0,501380.00000000006,45580.00000000006
1483,8562900710,98074,summer,507000.0,483000.0,627900.0,144900.0
